Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Alpha study,,Курсы робототехники; Компьютерные курсы; Помощь в обучении,"14-й микрорайон, 61",409 офис; 4 этаж; левое крыло,,14 м-н,,Актау,Актау городская администрация,Мангистауская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,5.0,16,87767573417,,,,,,https://instagram.com/alphastudy_aktau,,,https://wa.me/77767573417,,,,,,,43.652549,51.149338,https://2gis.com/firm/70000001065052290,branch
ITStep Academy Aktau,,Курсы робототехники; Компьютерные курсы; Разработка компьютерных игр; Дизайнерские курсы; Разработка мобильных приложений,"19-й микрорайон, 8",306 кабинет; 3 этаж,,19 м-н,,Актау,Актау городская администрация,Мангистауская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,5.0,10,87775225369,,,,http://aktau.itstep.org,,https://instagram.com/itstep.aktau,,,https://wa.me/77775225369,,,,https://t.me/+77775225369,,,43.674828,51.159234,https://2gis.com/firm/70000001084275342,branch
Pixel,,Курсы робототехники; Компьютерные курсы,,,,,,Актау,Актау городская администрация,Мангистауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,87172640281,,,,http://kz.pixel.study,,,,,,,,,,,,,,https://2gis.com/firm/70000001077224467,branch
Smart Robot Aktau,школа робототехники,Курсы робототехники,"17-й микрорайон, 18/2",,,17 м-н,,Актау,Актау городская администрация,Мангистауская область,Казахстан,,+05:00,5.0,3,87011503000,,,,,,https://instagram.com/smart_robot_aktau,,,https://wa.me/77011503000,,,,https://t.me/smart_robot_aktau,,,43.670161,51.138747,https://2gis.com/firm/70000001090546802,branch
Байт,школа робототехники,Курсы робототехники,"26-й микрорайон, 19/1",,,26 м-н,,Актау,Актау городская администрация,Мангистауская область,Казахстан,Сб: 09:00-19:00; Вс: 09:00-19:00 (по предварительной записи),+05:00,3.7,3,87072525095,,,,http://1bt.kz/akt,,,,,https://wa.me/77072525095,,,,,,,43.662464,51.164693,https://2gis.com/firm/70000001083353693,branch
Дом творчества школьников Жанаозенского городского отдела образования,,Курсы робототехники; Спортивные секции; Обучение танцам; Курсы вокала; Языковые школы,"улица Сатпаева, 1д",,,Мунайлы м-н,,Жанаозен,Жанаозен городская администрация,Мангистауская область,Казахстан,"Пн: 08:00-12:00, 14:00-17:00; Вт: 08:00-12:00, 14:00-17:00; Ср: 08:00-12:00, 14:00-17:00; Чт: 08:00-12:00, 14:00-17:00; Пт: 08:00-12:00, 14:00-17:00",+05:00,,,87293448389 (Приемная),87293448388,,,,,,,,,,,,,,,43.340025,52.8527,https://2gis.com/firm/70000001044028671,branch
Расул,учебный центр,Курсы робототехники; Помощь в обучении; Языковые школы; Центры раннего развития детей,"11-й микрорайон, 17",,,11 м-н,,Актау,Актау городская администрация,Мангистауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,,,,,,,,,,,,,,,,,,,43.654567,51.153254,https://2gis.com/firm/70000001093750924,branch
РобоМММ робототехника ,,Курсы робототехники,"микрорайон Толкын 1, 225/2",2 этаж,,Толкын-1 м-н,,Актау,Актау городская администрация,Мангистауская область,Казахстан,Вт: 12:00-19:00; Ср: 12:00-19:00; Чт: 12:00-19:00; Пт: 12:00-19:00; Сб: 12:00-19:00; Вс: 12:00-19:00,+05:00,4.3,12,87003625070,,,,,,https://instagram.com/robo_mmm.aktau,,,https://wa.me/77003625070,,,,,,,43.678403,51.168159,https://2gis.com/firm/70000001066138654,branch
Algyr,учебный центр,Курсы робототехники; Центры раннего развития детей; Языковые школы,"микрорайон Жастык, 7в",,,Жастык м-н,,Кандыагаш,Мугалжарский район,Актюбинская область,Казахстан,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-17:00; Вс: 09:00-17:00,+05:00,,,87767244975,87014462322,,,,,https://instagram.com/algyr_kandyagash,,,https://wa.me/77767244975,https://wa.me/77014462322,,,,,,49.453732,57.406967,https://2gis.com/firm/70000001089038041,branch
Aqtobe robotics,,Курсы робототехники; Компьютерные курсы,"улица Марата Оспанова, 67","16, 18, 19 кабинет; цокольный этаж",,Сазда-2 квартал,Астана район,Актобе,Актобе городская администрация,Актюбинская область,Казахстан,Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,5.0,1,87711055029,,,,,,https://instagram.com/aqtobe.robotics,,,https://wa.me/77711055029,,,,,,,50.285413,57.173791,https://2gis.com/firm/70000001067525973,branch
