Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Веб-сайт,Instagram,Facebook,WhatsApp 1,WhatsApp 2,Viber,Telegram,Широта,Долгота,2GIS URL,Тип
ALSER.kz,магазин цифровой техники,Компьютеры / Комплектующие; Мобильные телефоны; Аудиотехника / Видеотехника; Бытовая техника; Аксессуары к телефонам,"11а микрорайон, 2",1 этаж,,11а м-н,,Актау,Актау городская администрация,Мангистауская область,Казахстан,Пн: 09:30-20:00; Вт: 09:30-20:00; Ср: 09:30-20:00; Чт: 09:30-20:00; Пт: 09:30-20:00; Сб: 09:30-20:00; Вс: 09:30-20:00,+05:00,4.7,143,3003 (контакт-центр: пн-вс 8:00-22:00),,http://alser.kz,https://instagram.com/alserkz,,,,,,43.654789,51.161524,https://2gis.com/firm/70000001035706275,branch
ALSER.kz,склад,Компьютеры / Комплектующие; Аудиотехника / Видеотехника; Бытовая техника; Мобильные телефоны; Аксессуары к телефонам,"11а микрорайон, 1",,,11а м-н,,Актау,Актау городская администрация,Мангистауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,3003 (контакт-центр: пн-вс 8:00-22:00),,http://alser.kz,https://instagram.com/alserkz,,,,,,43.654812,51.161951,https://2gis.com/firm/70000001096097157,branch
Baidaulet Service,,Компьютеры / Комплектующие; Компьютерные курсы; Ремонт компьютеров; Контрольно-кассовая техника; Копировальные услуги,"11-й микрорайон, 52",1 этаж,,11 м-н,,Актау,Актау городская администрация,Мангистауская область,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 10:00-13:00, 14:00-16:00",+05:00,,,87752775788,,,,,,,,,43.656446,51.158769,https://2gis.com/firm/70000001091424054,branch
BIG service,сервисный центр,Компьютеры / Комплектующие; Ремонт компьютеров; Заправка картриджей; Комиссионные магазины; Модернизация компьютеров; Монтаж компьютерных сетей; Оргтехника; Программное обеспечение; Расходные материалы для оргтехники; Ремонт оргтехники; Сетевое оборудование; Системное администрирование,"1-й микрорайон, 2/1",,,1 м-н,,Жанаозен,Жанаозен городская администрация,Мангистауская область,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,5.0,2,87766444449,87088034444,,https://instagram.com/remont.com7,,https://wa.me/77766444449,https://wa.me/77088034444,,,43.347393,52.859948,https://2gis.com/firm/70000001045170702,branch
Chip,магазин,Компьютеры / Комплектующие; Ремонт компьютеров; Сетевое оборудование; Модернизация компьютеров; Коммутационное оборудование,"2-й микрорайон, 34/1",4А офис; цокольный этаж,,2 м-н,,Актау,Актау городская администрация,Мангистауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00,+05:00,4.8,6,87715458080,87770245824,,https://instagram.com/chip.aktau,https://facebook.com/Chip.Aktau,https://wa.me/77715458080,,viber://chat/?number=77715458080,https://t.me/chip_aktau,43.640217,51.169754,https://2gis.com/firm/70000001028463684,branch
Desktop ,компьютерный магазин,Компьютеры / Комплектующие; Ремонт компьютеров; Модернизация компьютеров,"4-й микрорайон, 68",,,4 м-н,,Актау,Актау городская администрация,Мангистауская область,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,5.0,7,87004813211,,http://eva-raskhodnik.kz,https://instagram.com/desktop_aktau,,https://wa.me/77004813211,,,https://t.me/+77004813211,43.634178,51.167462,https://2gis.com/firm/70000001092520427,branch
Eva-print,компания,Компьютеры / Комплектующие; Канцтовары; Оборудование для автоматизации торговли; Заправка картриджей; Ремонт оргтехники,"4-й микрорайон, 68",1-2 офис; 1 этаж,,4 м-н,,Актау,Актау городская администрация,Мангистауская область,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,67,87292526494,87073300670,http://eva-raskhodnik.kz,https://instagram.com/eva_kanctovary,,https://wa.me/77073300670,,,,43.634178,51.167462,https://2gis.com/firm/70000001028646389,branch
FixPrint,сервисный центр,Компьютеры / Комплектующие; Заправка картриджей; Ремонт оргтехники; Расходные материалы для оргтехники; Ремонт компьютеров,"17-й микрорайон, 50",10 кабинет; цокольный этаж,,17 м-н,,Актау,Актау городская администрация,Мангистауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-14:00,+05:00,4.7,13,87019059464,,,https://instagram.com/fixprint.aktau,,https://wa.me/77019059464,,,,43.667119,51.145558,https://2gis.com/firm/70000001041073808,branch
I-service pro,сервисный центр,Компьютеры / Комплектующие; Аксессуары к телефонам; Ремонт телефонов; Стационарные телефоны; Элементы питания,"7а микрорайон, 21",,,7а м-н,,Актау,Актау городская администрация,Мангистауская область,Казахстан,Пн: 09:00-01:00; Вт: 09:00-01:00; Ср: 09:00-01:00; Чт: 09:00-01:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-01:00,+05:00,,,87021200606,,,https://instagram.com/i_service_pro_aktau,,https://wa.me/77021200606,,,,43.642232,51.153179,https://2gis.com/firm/70000001089224248,branch
I-service pro,сервисный центр,Компьютеры / Комплектующие; Аксессуары к телефонам; Ремонт телефонов; Стационарные телефоны; Элементы питания,"9-й микрорайон, 30/3",1 этаж,,9 м-н,,Актау,Актау городская администрация,Мангистауская область,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,2.0,4,87021200606,,,https://instagram.com/i_service_pro_aktau,,https://wa.me/77021200606,,,,43.648179,51.1561,https://2gis.com/firm/70000001041698125,branch
